scenario,seed,outcome_prevalence,bayes_brier,model_brier,ece,auroc
main,0,0.7601666666666667,0.09268436226411651,0.22261315649366673,0.22340395119295853,0.7511298849248982
concept_shift_only_no_feature_shift,0,0.4765,0.11963980043032567,0.22014534946033004,0.13591619270449587,0.7605744422763216
prevalence_matched_novel,0,0.3468333333333333,0.11065332424431694,0.23544336084025977,0.19016431035207723,0.7466115557973029
main,1,0.7638333333333334,0.09241758894992597,0.2125385883194523,0.2222973726629281,0.7712396662145133
concept_shift_only_no_feature_shift,1,0.47833333333333333,0.11997304453929261,0.22151392078810866,0.1336783980620846,0.7560131803052398
prevalence_matched_novel,1,0.3388333333333333,0.10980449224705577,0.22860333805739802,0.19839109635611885,0.764867089047852
main,2,0.759,0.09077381592872545,0.2252019038752033,0.2283053229269138,0.7516295919687584
concept_shift_only_no_feature_shift,2,0.4678333333333333,0.12108676863054343,0.21785150645178245,0.12315732100119663,0.7571944149737062
prevalence_matched_novel,2,0.3486666666666667,0.11014105915202399,0.2352928424472571,0.18484409323048265,0.7421367846707543
main,3,0.7728333333333334,0.09043370928070847,0.21282419257676574,0.22587744252329583,0.7710786994969012
concept_shift_only_no_feature_shift,3,0.4801666666666667,0.11866554748764058,0.22287861550136556,0.1377810986003375,0.7604351691589399
prevalence_matched_novel,3,0.3476666666666667,0.11136890503301251,0.22850174504108917,0.18763811257806134,0.75948925385726
main,4,0.767,0.09053179216802333,0.2165554791528723,0.23973083948078847,0.7827145969377001
concept_shift_only_no_feature_shift,4,0.4795,0.11900298129588481,0.22618338279976774,0.1439787094316543,0.7533962368519258
prevalence_matched_novel,4,0.3591666666666667,0.11241411299666046,0.22799371973792049,0.17122505395856272,0.7512038112593871
main,5,0.7536666666666667,0.09300955182789933,0.20917262304428058,0.20999190824549177,0.7743074902491442
concept_shift_only_no_feature_shift,5,0.476,0.11958655705382337,0.2249833950123589,0.13417479980907351,0.7484913017369799
prevalence_matched_novel,5,0.3435,0.11023410389237756,0.22985101652110157,0.19951600152525825,0.7675862088504226
main,6,0.759,0.09252422795653659,0.23142222534252316,0.2334789679130692,0.7468527356674569
concept_shift_only_no_feature_shift,6,0.4775,0.11975822257191757,0.22612601794639484,0.13776293084330649,0.7515682590579256
prevalence_matched_novel,6,0.3403333333333333,0.11125044192868626,0.23235409308720315,0.18371188406249406,0.7481983946026817
main,7,0.7646666666666667,0.09182584160359673,0.2191753202456243,0.23065913901645033,0.765914159613328
concept_shift_only_no_feature_shift,7,0.4766666666666667,0.12152773067783597,0.22130675962447577,0.1401284370952765,0.763576455391742
prevalence_matched_novel,7,0.3541666666666667,0.10996703716188487,0.22687060415925633,0.17433639458958652,0.7531488425047439
main,8,0.754,0.09229664302021096,0.21380574253159668,0.2243213540012414,0.7794973031516346
concept_shift_only_no_feature_shift,8,0.4866666666666667,0.11985069671809019,0.2224854056341639,0.13641773264787768,0.7596115015121865
prevalence_matched_novel,8,0.3388333333333333,0.1107876622917255,0.22205724294404688,0.1914355444472841,0.7719628896090731
main,9,0.7723333333333333,0.09107572340119852,0.22524903220936254,0.2404970675448791,0.7569590353558363
concept_shift_only_no_feature_shift,9,0.4751666666666667,0.11835744030332249,0.2238723352694564,0.1276812168282867,0.7489033782110738
prevalence_matched_novel,9,0.35483333333333333,0.10964139911993717,0.22946876648757814,0.18910529755366495,0.7598195880072692
main,10,0.7623333333333333,0.09008387189413346,0.21823020641073557,0.22016748692743732,0.7613011466113424
concept_shift_only_no_feature_shift,10,0.4765,0.12084559685631219,0.22166312394550008,0.12210930983574327,0.7510477311046768
prevalence_matched_novel,10,0.344,0.11123290190696504,0.2451753822111798,0.20489245802859313,0.7378214956749858
main,11,0.7568333333333334,0.09319165998856721,0.21501691024871328,0.2148205458649136,0.7713055024218457
concept_shift_only_no_feature_shift,11,0.4713333333333333,0.1189760628820663,0.2199050030989376,0.126666914538779,0.753824014404683
prevalence_matched_novel,11,0.36633333333333334,0.11318753607686798,0.23040561244912283,0.18302209481362855,0.7622241825694919
main,12,0.7598333333333334,0.09108380386144924,0.2184361523852339,0.2339541750354123,0.7765716181047654
concept_shift_only_no_feature_shift,12,0.47583333333333333,0.1190543094954489,0.22684414017203283,0.1373286507703431,0.7447862367363758
prevalence_matched_novel,12,0.35383333333333333,0.1108289014670357,0.2243523597131511,0.1722626952128775,0.757139675740271
main,13,0.763,0.09275979730349454,0.22307133893947775,0.23668254515531206,0.7661157225377409
concept_shift_only_no_feature_shift,13,0.47933333333333333,0.11919192759636953,0.2246922368316964,0.14582393204189065,0.7598880042169823
prevalence_matched_novel,13,0.3515,0.11197675206232073,0.22357146627724736,0.17459954653995155,0.7610835280356038
main,14,0.7688333333333334,0.09085304197103312,0.21305118172612272,0.2284072892740586,0.7777462239172046
concept_shift_only_no_feature_shift,14,0.47933333333333333,0.1205705947238442,0.21673114245446162,0.12760328773419055,0.7647658933751706
prevalence_matched_novel,14,0.34933333333333333,0.11043211906302462,0.2235254866891618,0.19266527632516547,0.7746664215992991
main,15,0.7516666666666667,0.09380601753857581,0.21678469491522834,0.2254931056655906,0.774113454069257
concept_shift_only_no_feature_shift,15,0.47583333333333333,0.11985596781701292,0.223566924008103,0.13639891018716122,0.755823354001988
prevalence_matched_novel,15,0.3428333333333333,0.11160404572312621,0.23058800114972866,0.17743446661264148,0.7439092878082436
main,16,0.7665,0.09147239886409972,0.2220320541876095,0.2358698755318959,0.7582561084951746
concept_shift_only_no_feature_shift,16,0.48083333333333333,0.11770000959485,0.21980054516108363,0.1385376081435095,0.7654877305818828
prevalence_matched_novel,16,0.3486666666666667,0.1102113159128218,0.22747440741566272,0.18165332409420507,0.7540443831450317
main,17,0.7541666666666667,0.09406320393220767,0.2217476354465909,0.22173905306722516,0.7566077722633204
concept_shift_only_no_feature_shift,17,0.4806666666666667,0.11801537204489917,0.22143105117989004,0.1330698630210536,0.7553141674930874
prevalence_matched_novel,17,0.3491666666666667,0.11051280814741521,0.22738793805795557,0.17523837723687913,0.7528845889395824
main,18,0.7685,0.09146174004694395,0.23519193178350178,0.24325237658803198,0.743800743175419
concept_shift_only_no_feature_shift,18,0.4765,0.12099450067638216,0.23641410349427613,0.14958145353647143,0.7303937731782841
prevalence_matched_novel,18,0.3495,0.11105842709387449,0.23343885715152354,0.18804361319975182,0.7479386569225023
main,19,0.766,0.09165469954932749,0.20443061694338205,0.21900640301542876,0.7905425007252683
concept_shift_only_no_feature_shift,19,0.47383333333333333,0.11783540756962171,0.2136100628989807,0.12641946030559853,0.7710303474482503
prevalence_matched_novel,19,0.3491666666666667,0.11115185209211753,0.2259855547735297,0.1941260104684967,0.7736014350367775
